Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF_35V","C1",62.000000,-30.000000,0.000000,top
"D1","SMBJ33A_TVS","D1",53.000000,-30.000000,0.000000,top
"D2","STPS30L60CW","D2",98.000000,-34.000000,0.000000,top
"F1","30A_FUSE","F1",35.000000,-30.000000,0.000000,top
"J1","BATTERY","J1",25.000000,-30.000000,0.000000,top
"J2","MOTOR","J2",115.000000,-34.000000,0.000000,top
"J3","TRIGGER","J3",25.000000,-70.000000,0.000000,top
"J4","UPDI","J4",60.000000,-70.000000,0.000000,top
"Q1","IPT015N10NM5","Q1",78.000000,-50.000000,0.000000,top
"Q2","IPT015N10NM5","Q2",78.000000,-62.000000,0.000000,top
"R1","100k_VDIV","R1",44.000000,-38.000000,0.000000,top
"R2","27k_VDIV","R2",52.000000,-38.000000,0.000000,top
"R3","10R_GATE","R3",61.000000,-48.000000,0.000000,top
"R4","10k_NTC_PULLUP","R4",44.000000,-44.000000,0.000000,top
"RS1","2mR_3W_KELVIN","RS1",86.000000,-70.000000,0.000000,top
"TH1","NTC_10K","TH1",36.000000,-70.000000,0.000000,top
"U1","TC4420_GATE_DRIVER","U1",52.000000,-52.000000,0.000000,top
"U2","ATTINY1616","U2",36.000000,-53.000000,0.000000,top
